datetime,"ТП 2199/1 - ГРЩ/Б (Науки, 63)","ТП 2199/1 - ГРЩ/Г (Науки, 63)","ТП 2199/2 - ГРЩ/А (Науки, 63)","ТП 2199/2 - ГРЩ/Д (Науки, 63)",ТП 2199/1 - К 1115/Б,ТП 2199/2 - К 1115/А,ТП 2199/1 - К 1318/Б,ТП 2199/2 - К 1318/А,ТП 2199/2 - К 1319/А,ТП 2199/1 - К 1319/Б,ТП 2199/1 - К 1166/А,ТП 2199/2 - Р 630/А
2020-01-07 11:30:00,0.3428124799999999,4.1221203200000005,0.0,0.0,10.451267415000002,0.0,0.007056270000000001,0.055371915,0.055371915,0.1817979749999999,0.032071840000000004,0.8712991999999996
2020-01-07 12:00:00,0.43554463999999976,3.8072403199999987,0.0,0.0,12.003969555,0.0,0.008398575,0.04859437499999999,0.04859437499999999,0.25054159499999995,0.03295744,1.1535366399999998
2020-01-07 12:30:00,0.44949775999999975,4.103857279999999,0.0,0.0,11.430665954999998,0.0,0.010745775,0.05640615,0.05640615,0.27538524000000003,0.032340799999999996,0.9379553599999998
2020-01-07 13:00:00,0.5460084799999999,4.3588051199999995,0.0,0.0,11.60716806,0.0,0.009718875,0.06014700000000001,0.06014700000000001,0.23012095500000002,0.07087424,1.0995871999999995
2020-01-07 13:30:00,0.40211487999999995,4.571440959999999,0.0,0.0,10.985189399999996,0.0,0.007936470000000001,0.054403695,0.054403695,0.233729775,0.03758223999999998,1.1714847999999998
2020-01-07 14:00:00,0.46605519999999995,4.770517279999999,0.0,0.0,12.855394350000005,0.0,0.009366795,0.050002695000000014,0.050002695000000014,0.25059294,0.03146831999999999,1.2790491199999996
2020-01-07 14:30:00,0.5056185599999999,4.862180160000001,0.0,0.0,13.634899469999999,0.0,0.007195635,0.040144454999999996,0.040144454999999996,0.17521847999999995,0.03663103999999999,0.9940892799999999
2020-01-07 15:00:00,0.44379711999999993,5.0587177599999995,0.0,0.0,13.976439075,0.0,0.005552595000000001,0.049012469999999995,0.049012469999999995,0.16023307499999992,0.03295744,1.1324199999999998
2020-01-07 15:30:00,0.5224187199999999,4.834929919999998,0.0,0.0,13.20875064,0.0,0.002119815,0.0511983,0.0511983,0.17206443,0.032340799999999996,1.2652731199999998
2020-01-07 16:00:00,0.5372377599999998,5.5942696,0.0,0.0,11.297088269999996,0.0,0.0008288549999999999,0.12470967,0.12470967,0.22650480000000003,0.03385615999999998,1.2578012799999998
2020-01-07 16:30:00,0.5748659199999997,5.888387199999999,0.0,0.0,14.108205014999998,0.0,0.0008288549999999999,0.19137015000000002,0.19137015000000002,0.1991599199999999,0.031199359999999992,1.52192
2020-01-07 17:00:00,0.5259151999999999,5.981781919999998,0.0,0.0,13.633718534999996,0.0,0.0008288549999999999,0.13441387499999996,0.13441387499999996,0.35502867,0.03569296,1.7148692799999992
2020-01-07 17:30:00,0.5764403199999999,6.84922384,0.0,0.0,12.518827874999998,0.0,0.0007335,0.10668023999999997,0.10668023999999997,0.294170175,0.03385615999999998,1.6429191999999995
2020-01-07 18:00:00,0.5266696,5.809700000000001,0.0,0.0,12.289418415,0.0,0.0008288549999999999,0.09494423999999997,0.09494423999999997,0.3627891,0.03295744,1.4903401599999995
2020-01-07 18:30:00,0.5983572799999999,6.26120512,0.0,0.0,13.108415174999998,0.0,0.0008288549999999999,0.059538195,0.059538195,0.37426837499999993,0.027840639999999993,1.7865832000000001
2020-01-07 19:00:00,0.6083743999999999,6.508897599999998,0.0,0.0,14.278310999999999,0.0,0.0008288549999999999,0.060469740000000015,0.060469740000000015,0.30638295000000004,0.028929599999999993,1.6047990399999996
2020-01-07 19:30:00,0.5387399999999997,6.582303999999999,0.0,0.0,12.352910175000002,0.0,0.0008288549999999999,0.060301035,0.060301035,0.36091867499999997,0.027840639999999993,1.4953913600000002
2020-01-07 20:00:00,0.5201095999999998,7.016182399999998,0.0,0.0,12.635014274999998,0.0,0.0008288549999999999,0.056369475000000016,0.056369475000000016,0.27069817500000004,0.027033759999999997,1.6842472000000002
2020-01-07 20:30:00,0.4864436800000001,7.076035839999996,0.0,0.0,12.22634475,0.0,0.0008288549999999999,0.063117675,0.063117675,0.2525073750000001,0.026239999999999992,1.4850003199999997
2020-01-07 21:00:00,0.5150977599999997,7.173471520000002,0.0,0.0,12.797088435,0.0,0.0008288549999999999,0.060301035,0.060301035,0.259842375,0.028660640000000005,1.5946703999999994
2020-01-07 21:30:00,0.62039888,6.971003679999997,0.0,0.0,12.020311934999999,0.0,0.0008288549999999999,0.05898806999999998,0.05898806999999998,0.284487975,0.028660640000000005,1.7240335999999998
2020-01-07 22:00:00,0.5372705600000001,6.265751199999997,0.0,0.0,10.66680639,0.0,0.0008288549999999999,0.047655495,0.047655495,0.2688277500000001,0.02976272,1.6393505599999998
2020-01-07 22:30:00,0.5823443199999999,6.203142559999999,0.0,0.0,10.402614360000001,0.0,0.0008288549999999999,0.047274074999999985,0.047274074999999985,0.248810535,0.030339999999999992,1.2312923200000003
2020-01-07 23:00:00,0.4258030399999999,5.278103839999998,0.0,0.0,9.978511994999996,0.0,0.0008288549999999999,0.043254495000000004,0.043254495000000004,0.2401479,0.030339999999999992,1.4104655999999998
2020-01-07 23:30:00,0.38883744000000003,5.4211839999999984,0.0,0.0,8.181400320000002,0.0,0.0009535499999999998,0.044545455,0.044545455,0.24628729500000007,0.02949375999999999,1.2596511999999997
2020-01-08 0:00:00,0.38163455999999996,4.879590399999998,0.0,0.0,7.768476494999999,0.0,0.0008288549999999999,0.04342319999999998,0.04342319999999998,0.20543868,0.03060896,1.0152255999999997
2020-01-08 0:30:00,0.36888847999999996,3.5767284799999985,0.0,0.0,6.537722174999999,0.0,0.0008288549999999999,0.047274074999999985,0.047274074999999985,0.19673203500000003,0.028929599999999993,0.7147316799999999
2020-01-08 1:00:00,0.2647615999999999,3.275079999999999,0.0,0.0,6.101575739999999,0.0,0.0009388800000000001,0.044926875000000005,0.044926875000000005,0.129162015,0.02976272,0.6048910399999998
